Material,Plant,Quantity,PurchaseOrder,UnitofMeasure,EntryDate,DebitCredit
1313253,CON1,"5,443.200",4800041853,KG,5/21/2022,H
1313254,CON1,"1,814.400",4800041853,KG,5/21/2022,H
1313255,CON1,"1,814.400",4800041853,KG,5/21/2022,H
1010333,CON1,"14,152.320",4800041851,KG,5/21/2022,H
1313253,CON1,"7,257.600",4500088837,KG,5/21/2022,S
1313253,CON1,226.800,4500088837,KG,5/21/2022,S
1313253,CON1,"9,072.000",4500088837,KG,5/21/2022,S
1313253,CON1,453.600,4500088837,KG,5/21/2022,S
1313253,CON1,907.200,4500088837,KG,5/21/2022,S
1313344,CON1,"9,000.000",4800042146,KG,5/22/2022,H
1010003,CON1,"9,253.440",4800042175,KG,5/24/2022,H
1010003,CON1,"2,177.280",4800042175,KG,5/24/2022,H
1010003,CON1,"7,076.160",4800042175,KG,5/24/2022,H
1313344,CON1,"9,000.000",4800042147,KG,5/24/2022,H
1010333,CON1,"14,152.320",4800041852,KG,5/24/2022,H
1010004,CON1,"5,670.000",4800042211,KG,5/24/2022,H
1010004,CON1,"11,340.000",4800042211,KG,5/24/2022,H
1313253,CON1,"6,350.400",4800041854,KG,5/24/2022,H
1111083,CON1,95.270,4800041854,KG,5/24/2022,H
1313254,CON1,"8,164.800",4800041854,KG,5/24/2022,H
1010033,CON1,"21,772.800",4500084050,KG,5/24/2022,S
1313253,CON1,"1,134.000",4500088839,KG,5/24/2022,S
1313253,CON1,680.400,4500088839,KG,5/24/2022,S
1313253,CON1,"7,257.600",4500088839,KG,5/24/2022,S
1313253,CON1,"9,072.000",4500088839,KG,5/24/2022,S
1313254,CON1,748.440,4500088930,KG,5/24/2022,S
1313254,CON1,"1,065.960",4500088930,KG,5/24/2022,S
1313254,CON1,"1,814.400",4500088930,KG,5/24/2022,S
1313254,CON1,"14,515.200",4500088930,KG,5/24/2022,S
1010003,CON1,272.160,4800042176,KG,5/25/2022,H
1010003,CON1,"18,234.720",4800042176,KG,5/25/2022,H
1313344,CON1,"9,000.000",4800042148,KG,5/25/2022,H
1313253,CON1,907.200,4800041883,KG,5/25/2022,H
1313253,CON1,453.600,4800041883,KG,5/25/2022,H
1313255,CON1,907.200,4800041883,KG,5/25/2022,H
1313254,CON1,907.200,4800041883,KG,5/25/2022,H
1313254,CON1,"1,814.400",4800041883,KG,5/25/2022,H
1313253,CON1,"9,979.200",4800041972,KG,5/25/2022,H
1313254,CON1,"1,814.400",4800041972,KG,5/25/2022,H
1010027,CON1,"17,965.200",4800042208,KG,5/25/2022,H
1010033,CON1,"21,772.800",4500084052,KG,5/25/2022,S
1010033,CON1,"21,772.800",4500081703,KG,5/25/2022,S
1313254,CON1,"14,515.200",4500088930,KG,5/25/2022,S
1313254,CON1,748.440,4500088930,KG,5/25/2022,S
