order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date
MUTiAkk8Ohjx,0dP1RSBypl8a,delivered,2018-06-02 18:37:14,2018-06-02 18:51:31,2018-10-17 13:22:46,2018-07-13
629zJ7GWjeXK,yxOiv0oibM1R,delivered,2018-05-21 06:48:46,2018-05-21 06:57:03,2018-10-11 16:41:14,2018-06-27
ifXuTaaNZaZD,GkzjoABy52Rn,delivered,2018-07-30 09:08:06,2018-07-30 09:44:33,2018-10-02 00:18:50,2018-08-14
PWAc5ZhUbtng,BV8JvgGZJiDX,delivered,2018-07-22 09:54:03,2018-07-23 11:31:46,2018-09-27 02:24:33,2018-08-17
TkHntlzRrrEq,dMX7zzieQz7S,delivered,2018-08-01 19:43:06,2018-08-01 20:30:23,2018-09-21 15:55:02,2018-08-23
a46imQ3Egdk9,3pNPHq2hpl0o,delivered,2018-07-23 10:22:26,2018-07-23 13:20:19,2018-09-20 16:08:33,2018-08-13
I7Uy2GUAWB08,6QXA9Gqv1Mqz,delivered,2018-02-23 14:57:35,2018-02-23 15:16:14,2018-09-19 23:24:07,2018-03-15
F8mhZNetCqUo,8sDiRTiEpPGV,delivered,2018-08-06 14:32:27,2018-08-06 14:44:46,2018-09-19 16:44:44,2018-08-17
4J6kushiOyXL,Whc2zZx7qjID,delivered,2018-07-03 22:13:48,2018-07-05 16:15:23,2018-09-19 15:46:39,2018-07-31
ez4xZyiJeP5m,QnVthMETOqpx,delivered,2018-07-20 13:14:25,2018-07-20 13:25:09,2018-09-17 13:49:04,2018-08-16
rUirzWnWW4Lr,RArH98SoS0al,delivered,2018-07-27 13:50:48,2018-07-27 14:31:19,2018-09-14 17:11:19,2018-08-13
RfK1YC9kqpBl,wJZb6Cd2NkxF,delivered,2018-07-29 18:24:11,2018-07-30 09:31:10,2018-09-13 21:22:27,2018-08-21
bR4HhzVOPBBH,rrVfXqrUZOCy,delivered,2018-08-15 07:19:56,2018-08-16 04:35:11,2018-09-13 19:24:35,2018-08-28
ZmGg3xkD7XjJ,5CLx5Ilt8F9M,delivered,2018-06-25 16:44:38,2018-06-25 17:18:51,2018-09-12 15:51:39,2018-07-16
Pu2stn7Ov19R,sbaH8vUTBDA2,delivered,2018-08-06 17:19:01,2018-08-06 17:44:33,2018-09-12 02:38:41,2018-08-28
1nFPA9zMHhw1,YtZmu5tF8XZo,delivered,2018-08-14 17:49:36,2018-08-14 18:35:18,2018-09-11 00:37:34,2018-08-24
9TPKNU4cRSPt,0K3uqXPgOSKz,delivered,2018-08-09 10:00:38,2018-08-10 13:05:22,2018-09-10 20:41:18,2018-08-23
nagCdT81afGS,038aoxV5r51k,delivered,2018-08-02 13:38:58,2018-08-02 13:50:23,2018-09-10 19:53:45,2018-08-23
197lFYxfy1S3,8Iu4HLNFX2B3,delivered,2018-07-28 09:22:31,2018-07-30 07:24:39,2018-09-08 14:36:27,2018-08-20
9VpxncAA0sN7,KJUb0l6MnDkd,delivered,2018-08-01 17:27:04,2018-08-01 18:31:30,2018-09-06 22:12:34,2018-08-21
8ktIqHTN3ONQ,Dh7pNXA2PAmL,delivered,2018-07-25 06:01:17,2018-07-26 03:24:23,2018-09-06 11:41:13,2018-08-20
pVSX2NISkKQi,KeH8q5LyKZpA,delivered,2018-08-14 17:02:40,2018-08-14 17:15:32,2018-09-05 22:22:01,2018-08-29
tiXdDvaXJbF7,12WRE9qEKHcW,delivered,2018-08-15 03:24:22,2018-08-15 03:44:01,2018-09-05 22:03:51,2018-08-24
GqZyqeSWTgCt,L440XjlXYC01,delivered,2018-06-21 17:27:55,2018-06-21 18:21:15,2018-09-05 18:06:50,2018-07-24
JzZ5DMblZKyM,oYuZIJVQakiu,delivered,2018-08-10 17:15:28,2018-08-10 17:30:16,2018-09-05 16:56:56,2018-08-22
02y3zqJ1WrBt,aPCzOQSPdx5x,delivered,2018-08-14 21:28:20,2018-08-14 21:44:02,2018-09-04 21:33:01,2018-08-22
Te1gbwzNb6Wr,UYNuNbqXGovc,delivered,2018-08-13 20:11:13,2018-08-13 20:25:16,2018-09-04 20:06:58,2018-08-24
ocEdfwIKOMPZ,5qpmuHtK4IjZ,delivered,2018-08-10 18:32:06,2018-08-10 18:44:33,2018-09-04 03:18:42,2018-08-23
yeYkcTm9GxrF,VlaV52T18HVL,delivered,2018-08-19 20:53:28,2018-08-20 13:15:59,2018-09-04 01:28:45,2018-08-24
OdM0MyRmKBVf,wTAwWyRyGz4e,delivered,2018-08-04 13:54:21,2018-08-04 14:10:14,2018-09-03 23:37:44,2018-08-21
BBoKsuNuokJK,PZHYwdwWpj6M,delivered,2018-07-24 12:45:42,2018-07-24 13:24:39,2018-09-03 23:33:13,2018-08-22
2BeJJKCc49J8,mJSm0CDbD4KX,delivered,2018-07-30 15:27:39,2018-07-30 16:07:01,2018-09-03 20:31:06,2018-08-27
4SfrHCHoLSks,5EkLNiHAXQ8y,delivered,2018-08-15 21:41:45,2018-08-17 03:30:00,2018-09-03 19:06:55,2018-08-23
