Prediction,Material,Plant,UnitofMeasure,DebitCredit,DayOfWeek,Month,DayOfYear,WeekOfYear,IsWeekend,Quantity,Quantity_pred
0,26,1,1,1,-1.451322,-1.297273,-1.388079,-1.3591,-0.373633,6.888573,4.483186
1,22,1,1,2,1.560793,-0.444254,-0.416691,-0.440704,2.67642,6.811465,3.700979
2,2,1,1,1,-1.451322,-0.159914,-0.201865,-0.178305,-0.373633,8.797246,3.842929
3,18,1,1,2,-0.246476,0.693106,0.806885,0.80569,-0.373633,6.811465,2.954588
4,1,1,1,2,0.355947,0.408766,0.358552,0.346492,-0.373633,6.993603,3.456967
5,14,1,1,2,0.355947,0.124426,0.087684,0.084093,-0.373633,6.993015,3.039191
6,7,1,1,1,-1.451322,-1.581613,-1.453461,-1.4247,-0.373633,10.072488,3.095289
7,23,1,1,1,0.95837,-1.012933,-1.023808,-1.031102,-0.373633,6.811465,3.274133
8,8,1,1,2,-1.451322,-1.012933,-0.986447,-0.965502,-0.373633,9.76533,4.109902
9,1,1,1,1,-0.848899,-1.012933,-1.107871,-1.096701,-0.373633,8.379209,3.862846
10,14,1,1,2,0.355947,-1.012933,-0.902385,-0.899902,-0.373633,8.784009,2.965348
11,7,1,1,1,-0.848899,-0.159914,-0.05242,-0.047106,-0.373633,6.706373,3.157338
12,22,1,1,2,1.560793,-1.297273,-1.406759,-1.4247,2.67642,8.420021,3.712325
13,22,1,1,1,-1.451322,-1.581613,-1.453461,-1.4247,-0.373633,9.700796,2.979872
14,22,1,1,1,0.95837,-1.581613,-1.546863,-1.555899,-0.373633,7.504061,3.021628
15,8,1,1,2,-0.848899,-1.297273,-1.369398,-1.3591,-0.373633,9.557705,4.233179
16,7,1,1,2,0.95837,0.977445,1.021711,1.002489,-0.373633,10.01938,3.431661
17,1,1,1,1,0.95837,-1.297273,-1.406759,-1.4247,-0.373633,9.477668,3.718401
18,23,1,1,2,-0.848899,-0.444254,-0.313948,-0.309505,-0.373633,7.909343,3.023282
19,23,1,1,1,-0.246476,-0.159914,-0.173844,-0.178305,-0.373633,9.00771,3.495236
20,7,1,1,1,0.95837,1.261785,1.33928,1.330488,-0.373633,9.840697,3.105216
21,8,1,1,1,1.560793,0.977445,0.956329,0.936889,2.67642,8.379209,4.014169
22,5,1,1,1,0.95837,-1.012933,-1.023808,-1.031102,-0.373633,9.190158,3.622401
23,8,1,1,1,1.560793,1.546125,1.423342,1.396087,2.67642,9.988462,4.137987
24,23,1,1,1,-1.451322,0.124426,0.125045,0.149693,-0.373633,8.689997,2.926929
25,23,1,1,2,1.560793,0.408766,0.433274,0.412092,2.67642,6.524149,3.31831
26,1,1,1,1,-0.848899,-1.581613,-1.509502,-1.4903,-0.373633,8.379209,3.805357
27,1,1,1,1,0.95837,0.977445,0.946989,0.936889,-0.373633,9.295362,3.971303
28,23,1,1,1,-0.848899,0.124426,0.069003,0.084093,-0.373633,5.428468,2.885716
29,22,1,1,1,-0.848899,1.261785,1.180495,1.199288,-0.373633,6.678091,3.267601
30,23,1,1,2,0.95837,0.693106,0.816225,0.80569,-0.373633,8.420021,3.223057
31,8,1,1,1,1.560793,0.977445,1.096433,1.068089,2.67642,6.168103,3.857055
32,23,1,1,2,-0.246476,0.124426,0.022302,0.018494,-0.373633,8.420021,3.44198
33,6,1,1,2,0.355947,0.124426,0.022302,0.018494,-0.373633,10.037397,4.168092
34,12,1,1,2,-0.848899,0.977445,1.049732,1.068089,-0.373633,9.839003,3.905394
35,22,1,1,1,0.95837,0.124426,0.171746,0.149693,-0.373633,8.889942,2.994677
36,14,1,1,1,-0.848899,0.693106,0.788204,0.80569,-0.373633,9.010449,3.138545
37,22,1,1,1,1.560793,0.408766,0.442614,0.412092,2.67642,9.58302,3.212473
38,1,1,1,1,0.355947,-1.012933,-0.902385,-0.899902,-0.373633,7.686291,3.610626
39,10,1,1,1,0.95837,1.546125,1.544766,1.527287,-0.373633,9.00771,3.780885
40,1,1,1,1,-1.451322,0.124426,0.199767,0.215293,-0.373633,9.825952,3.460018
41,14,1,1,1,0.355947,-1.297273,-1.350718,-1.3591,-0.373633,8.784009,2.961551
42,7,1,1,1,0.355947,0.977445,1.077752,1.068089,-0.373633,10.078218,3.386014
43,8,1,1,1,1.560793,-1.581613,-1.537523,-1.555899,2.67642,9.390663,4.172981
44,7,1,1,1,-1.451322,-0.159914,-0.257906,-0.243905,-0.373633,5.705182,2.824805
45,7,1,1,2,0.95837,0.408766,0.498656,0.477692,-0.373633,9.963293,3.224457
46,1,1,1,2,0.355947,-0.159914,-0.295267,-0.309505,-0.373633,6.993603,4.191935
47,2,1,1,2,-1.451322,-1.581613,-1.574884,-1.555899,-0.373633,7.95015,4.088194
48,23,1,1,2,0.355947,-0.728593,-0.762281,-0.768703,-0.373633,7.504061,3.211562
49,23,1,1,2,0.95837,0.124426,0.097024,0.084093,-0.373633,7.504061,3.079139
50,6,1,1,1,0.95837,-1.297273,-1.285336,-1.2935,-0.373633,9.498432,3.887626
51,1,1,1,1,1.560793,-1.297273,-1.406759,-1.4247,2.67642,9.390663,3.980745
52,2,1,1,2,-0.848899,1.261785,1.320599,1.330488,-0.373633,8.643121,3.858707
53,1,1,1,2,-0.848899,0.693106,0.732162,0.74009,-0.373633,9.295362,3.899236
54,1,1,1,1,-0.246476,0.693106,0.806885,0.80569,-0.373633,6.993603,3.887923
55,14,1,1,1,-0.246476,-0.444254,-0.313948,-0.309505,-0.373633,6.167517,3.464302
56,26,1,1,1,0.95837,0.124426,0.227788,0.215293,-0.373633,9.546884,4.404282
57,8,1,1,1,-1.451322,1.261785,1.236537,1.264888,-0.373633,8.245709,3.950871
58,1,1,1,2,-0.246476,0.408766,0.274489,0.280892,-0.373633,9.390663,3.354374
59,1,1,1,2,1.560793,-1.012933,-1.07985,-1.096701,2.67642,6.993603,3.853425
60,1,1,1,2,1.560793,0.124426,0.040982,0.018494,2.67642,6.993603,3.830474
