Material,Plant,Quantity,UnitofMeasure,EntryDate,DebitCredit
'1010003',BAR1,9253.44,KG,2022-05-24,H
'1010003',BAR1,2177.28,KG,2022-05-24,H
'1010003',BAR1,7076.16,KG,2022-05-24,H
'1010003',BAR1,272.16,KG,2022-05-25,H
'1010003',BAR1,18234.72,KG,2022-05-25,H
'1010003',BAR1,272.16,KG,2022-05-26,H
'1010003',BAR1,12791.52,KG,2022-05-26,H
'1010003',BAR1,5443.2,KG,2022-05-26,H
'1010003',BAR1,1088.64,KG,2022-05-26,S
'1010003',BAR1,18506.88,KG,2022-05-26,S
'1010003',BAR1,13063.68,KG,2022-05-26,S
'1010003',BAR1,2177.28,KG,2022-05-26,S
'1010003',BAR1,1088.64,KG,2022-05-26,S
'1010003',BAR1,1088.64,KG,2022-05-27,H
'1010003',BAR1,6531.84,KG,2022-05-27,H
'1010003',BAR1,10886.4,KG,2022-05-27,H
'1010003',BAR1,9253.44,KG,2022-05-30,H
'1010003',BAR1,1088.64,KG,2022-05-30,H
'1010003',BAR1,6531.84,KG,2022-05-30,H
'1010003',BAR1,544.32,KG,2022-05-30,H
'1010003',BAR1,4082.4,KG,2022-06-01,H
'1010003',BAR1,11975.04,KG,2022-06-01,H
'1010003',BAR1,2449.44,KG,2022-06-01,H
'1010003',BAR1,9797.76,KG,2022-06-02,H
'1010003',BAR1,8709.12,KG,2022-06-02,H
'1010003',BAR1,10614.24,KG,2022-06-02,H
'1010003',BAR1,7620.48,KG,2022-06-02,H
'1010003',BAR1,272.16,KG,2022-06-02,H
'1010003',BAR1,10886.4,KG,2022-06-02,S
'1010003',BAR1,8709.12,KG,2022-06-02,S
'1010003',BAR1,1088.64,KG,2022-06-02,S
'1010003',BAR1,2177.28,KG,2022-06-02,S
'1010003',BAR1,5443.2,KG,2022-06-02,S
'1010003',BAR1,7620.48,KG,2022-06-02,S
'1010003',BAR1,2177.28,KG,2022-06-02,S
'1010003',BAR1,8709.12,KG,2022-06-02,S
'1010003',BAR1,272.16,KG,2022-06-03,H
'1010003',BAR1,5171.04,KG,2022-06-03,H
'1010003',BAR1,13063.68,KG,2022-06-03,H
'1010003',BAR1,4354.56,KG,2022-06-03,S
'1010003',BAR1,15240.96,KG,2022-06-03,S
'1010003',BAR1,2177.28,KG,2022-06-03,S
'1010003',BAR1,9797.76,KG,2022-06-03,S
'1010003',BAR1,5443.2,KG,2022-06-03,S
'1010003',BAR1,2177.28,KG,2022-06-03,S
'1010003',BAR1,17418.24,KG,2022-06-03,S
'1010003',BAR1,4354.56,KG,2022-06-03,S
'1010003',BAR1,6531.84,KG,2022-06-03,S
'1010003',BAR1,5443.2,KG,2022-06-03,S
'1010003',BAR1,3265.92,KG,2022-06-03,S
