Material,Plant,Quantity,UnitofMeasure,EntryDate,DebitCredit,DayOfWeek,Month,DayOfYear,WeekOfYear,IsWeekend
'1010003',BAR1,9.132858715343321,KG,2022-05-24,H,1,5,144,21,0
'1010003',BAR1,7.686290853540371,KG,2022-05-24,H,1,5,144,21,0
'1010003',BAR1,8.864627976270127,KG,2022-05-24,H,1,5,144,21,0
'1010003',BAR1,5.610057704092888,KG,2022-05-25,H,2,5,145,21,0
'1010003',BAR1,9.811137586971103,KG,2022-05-25,H,2,5,145,21,0
'1010003',BAR1,5.610057704092888,KG,2022-05-26,H,3,5,146,21,0
'1010003',BAR1,9.45661590409409,KG,2022-05-26,H,3,5,146,21,0
'1010003',BAR1,8.602306100789416,KG,2022-05-26,H,3,5,146,21,0
'1010003',BAR1,6.993602645440956,KG,2022-05-26,S,3,5,146,21,0
'1010003',BAR1,9.82595186632314,KG,2022-05-26,S,3,5,146,21,0
'1010003',BAR1,9.47766768473474,KG,2022-05-26,S,3,5,146,21,0
'1010003',BAR1,7.686290853540371,KG,2022-05-26,S,3,5,146,21,0
'1010003',BAR1,6.993602645440956,KG,2022-05-26,S,3,5,146,21,0
'1010003',BAR1,6.993602645440956,KG,2022-05-27,H,4,5,147,21,0
'1010003',BAR1,8.784597043495378,KG,2022-05-27,H,4,5,147,21,0
'1010003',BAR1,9.295361436273572,KG,2022-05-27,H,4,5,147,21,0
'1010003',BAR1,9.132858715343321,KG,2022-05-30,H,0,5,150,22,0
'1010003',BAR1,6.993602645440956,KG,2022-05-30,H,0,5,150,22,0
'1010003',BAR1,8.784597043495378,KG,2022-05-30,H,0,5,150,22,0
'1010003',BAR1,6.301372778317929,KG,2022-05-30,H,0,5,150,22,0
'1010003',BAR1,8.3146852537021,KG,2022-06-01,H,2,6,152,22,0
'1010003',BAR1,9.390663266107246,KG,2022-06-01,H,2,6,152,22,0
'1010003',BAR1,7.804022879250824,KG,2022-06-01,H,2,6,152,22,0
'1010003',BAR1,9.190011126040746,KG,2022-06-02,H,3,6,153,22,0
'1010003',BAR1,9.07224084701915,KG,2022-06-02,H,3,6,153,22,0
'1010003',BAR1,9.270045983396603,KG,2022-06-02,H,3,6,153,22,0
'1010003',BAR1,8.938725855543103,KG,2022-06-02,H,3,6,153,22,0
'1010003',BAR1,5.610057704092888,KG,2022-06-02,H,3,6,153,22,0
'1010003',BAR1,9.295361436273572,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,9.07224084701915,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,6.993602645440956,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,7.686290853540371,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,8.602306100789416,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,8.938725855543103,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,7.686290853540371,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,9.07224084701915,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,5.610057704092888,KG,2022-06-03,H,4,6,154,22,0
'1010003',BAR1,8.551022473813891,KG,2022-06-03,H,4,6,154,22,0
'1010003',BAR1,9.47766768473474,KG,2022-06-03,H,4,6,154,22,0
'1010003',BAR1,8.379208468849978,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,9.631807429895103,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,7.686290853540371,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,9.190011126040746,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,8.602306100789416,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,7.686290853540371,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,9.765330621440986,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,8.379208468849978,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,8.784597043495378,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,8.602306100789416,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,8.091602924004038,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,9.07224084701915,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,7.686290853540371,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,8.784597043495378,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,6.993602645440956,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,9.557704504525576,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,8.091602924004038,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,7.686290853540371,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,9.07224084701915,KG,2022-06-06,H,0,6,157,23,0
'1010003',BAR1,9.103009026619828,KG,2022-06-06,H,0,6,157,23,0
'1010003',BAR1,6.7062264376403355,KG,2022-06-06,H,0,6,157,23,0
'1010003',BAR1,8.091602924004038,KG,2022-06-06,S,0,6,157,23,0
'1010003',BAR1,7.686290853540371,KG,2022-06-06,S,0,6,157,23,0
'1010003',BAR1,9.47766768473474,KG,2022-06-06,S,0,6,157,23,0
