Material,Plant,Quantity,UnitofMeasure,EntryDate,DebitCredit,DayOfWeek,Month,DayOfYear,WeekOfYear,IsWeekend
'1010003',BAR1,9253.44,KG,2022-05-24,H,1,5,144,21,0
'1010003',BAR1,2177.28,KG,2022-05-24,H,1,5,144,21,0
'1010003',BAR1,7076.16,KG,2022-05-24,H,1,5,144,21,0
'1010003',BAR1,272.16,KG,2022-05-25,H,2,5,145,21,0
'1010003',BAR1,18234.72,KG,2022-05-25,H,2,5,145,21,0
'1010003',BAR1,272.16,KG,2022-05-26,H,3,5,146,21,0
'1010003',BAR1,12791.52,KG,2022-05-26,H,3,5,146,21,0
'1010003',BAR1,5443.2,KG,2022-05-26,H,3,5,146,21,0
'1010003',BAR1,1088.64,KG,2022-05-26,S,3,5,146,21,0
'1010003',BAR1,18506.88,KG,2022-05-26,S,3,5,146,21,0
'1010003',BAR1,13063.68,KG,2022-05-26,S,3,5,146,21,0
'1010003',BAR1,2177.28,KG,2022-05-26,S,3,5,146,21,0
'1010003',BAR1,1088.64,KG,2022-05-26,S,3,5,146,21,0
'1010003',BAR1,1088.64,KG,2022-05-27,H,4,5,147,21,0
'1010003',BAR1,6531.84,KG,2022-05-27,H,4,5,147,21,0
'1010003',BAR1,10886.4,KG,2022-05-27,H,4,5,147,21,0
'1010003',BAR1,9253.44,KG,2022-05-30,H,0,5,150,22,0
'1010003',BAR1,1088.64,KG,2022-05-30,H,0,5,150,22,0
'1010003',BAR1,6531.84,KG,2022-05-30,H,0,5,150,22,0
'1010003',BAR1,544.32,KG,2022-05-30,H,0,5,150,22,0
'1010003',BAR1,4082.4,KG,2022-06-01,H,2,6,152,22,0
'1010003',BAR1,11975.04,KG,2022-06-01,H,2,6,152,22,0
'1010003',BAR1,2449.44,KG,2022-06-01,H,2,6,152,22,0
'1010003',BAR1,9797.76,KG,2022-06-02,H,3,6,153,22,0
'1010003',BAR1,8709.12,KG,2022-06-02,H,3,6,153,22,0
'1010003',BAR1,10614.24,KG,2022-06-02,H,3,6,153,22,0
'1010003',BAR1,7620.48,KG,2022-06-02,H,3,6,153,22,0
'1010003',BAR1,272.16,KG,2022-06-02,H,3,6,153,22,0
'1010003',BAR1,10886.4,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,8709.12,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,1088.64,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,2177.28,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,5443.2,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,7620.48,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,2177.28,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,8709.12,KG,2022-06-02,S,3,6,153,22,0
'1010003',BAR1,272.16,KG,2022-06-03,H,4,6,154,22,0
'1010003',BAR1,5171.04,KG,2022-06-03,H,4,6,154,22,0
'1010003',BAR1,13063.68,KG,2022-06-03,H,4,6,154,22,0
'1010003',BAR1,4354.56,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,15240.96,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,2177.28,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,9797.76,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,5443.2,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,2177.28,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,17418.24,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,4354.56,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,6531.84,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,5443.2,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,3265.92,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,8709.12,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,2177.28,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,6531.84,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,1088.64,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,14152.32,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,3265.92,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,2177.28,KG,2022-06-03,S,4,6,154,22,0
'1010003',BAR1,8709.12,KG,2022-06-06,H,0,6,157,23,0
'1010003',BAR1,8981.28,KG,2022-06-06,H,0,6,157,23,0
'1010003',BAR1,816.48,KG,2022-06-06,H,0,6,157,23,0
'1010003',BAR1,3265.92,KG,2022-06-06,S,0,6,157,23,0
'1010003',BAR1,2177.28,KG,2022-06-06,S,0,6,157,23,0
'1010003',BAR1,13063.68,KG,2022-06-06,S,0,6,157,23,0
'1010003',BAR1,1088.64,KG,2022-06-06,S,0,6,157,23,0
'1010003',BAR1,5987.52,KG,2022-06-07,H,1,6,158,23,0
'1010003',BAR1,3810.24,KG,2022-06-07,H,1,6,158,23,0
'1010003',BAR1,8709.12,KG,2022-06-07,H,1,6,158,23,0
'1010003',BAR1,11702.88,KG,2022-06-08,H,2,6,159,23,0
'1010003',BAR1,6804.0,KG,2022-06-08,H,2,6,159,23,0
'1010003',BAR1,18506.88,KG,2022-06-08,H,2,6,159,23,0
'1010003',BAR1,19595.52,KG,2022-06-10,H,4,6,161,23,0
'1010003',BAR1,17826.48,KG,2022-06-14,H,1,6,165,24,0
'1010003',BAR1,17282.16,KG,2022-06-14,H,1,6,165,24,0
