epoch,train_loss,valid_loss,_rmse,mae,time
0,64.68508911132812,62.81368637084961,7.925508975982666,7.768799781799316,00:00
1,58.15443801879883,50.72336959838867,7.122034549713135,6.95707368850708,00:00
2,25.69246482849121,11.57813835144043,3.4026663303375244,3.0482399463653564,00:00
3,4.026671409606934,2.1120965480804443,1.4533053636550903,1.1343536376953125,00:00
4,1.9852830171585083,2.2507917881011963,1.5002639293670654,1.1473259925842285,00:00
5,1.9805529117584229,2.0270066261291504,1.4237297773361206,1.1192926168441772,00:00
6,1.9330114126205444,2.0471408367156982,1.4307833909988403,1.117435336112976,00:00
7,1.8685864210128784,2.0451507568359375,1.430087685585022,1.1135249137878418,00:00
8,1.869809627532959,1.9286340475082397,1.3887526988983154,1.1017980575561523,00:00
9,1.8844457864761353,1.973809003829956,1.4049230813980103,1.1058564186096191,00:00
10,1.791346549987793,1.9175034761428833,1.3847393989562988,1.0889564752578735,00:00
11,1.6992663145065308,1.8387765884399414,1.3560149669647217,1.0709377527236938,00:00
12,1.7295777797698975,1.8344870805740356,1.3544323444366455,1.0717443227767944,00:00
13,1.7008877992630005,1.829023003578186,1.352413535118103,1.065443754196167,00:00
14,1.6405595541000366,1.8293507099151611,1.3525348901748657,1.0707473754882812,00:00
